2026-07-31 08:39:27 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-07-31 09:25:08 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-07-31 10:09:27 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-07-31 12:16:57 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-07-31 14:38:25 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-07-31 17:52:40 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-07-31 19:53:10 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-07-31 21:22:17 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-07-31 23:16:39 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-01 03:49:36 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-01 04:34:13 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-01 04:49:49 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-01 06:41:25 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-01 10:10:46 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-01 11:35:31 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-01 13:54:43 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-01 15:19:05 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-01 17:14:24 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-01 19:33:53 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-01 21:09:39 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-01 23:11:10 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-02 03:52:34 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-02 04:36:17 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-02 04:52:15 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-02 06:45:35 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-02 10:08:26 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-02 11:34:56 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-02 13:53:57 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-02 15:19:55 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-02 17:15:27 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-02 19:34:00 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-02 21:11:13 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-02 23:11:22 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628'}, 'missing': [], 'n_available': 127}
2026-08-03 02:35:15 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-1-8': 'doubao-seed-1-8-251228', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-03 03:21:06 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-1-8': 'doubao-seed-1-8-251228', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-03 03:54:02 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-1-8': 'doubao-seed-1-8-251228', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-03 04:45:51 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-1-8': 'doubao-seed-1-8-251228', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-03 05:01:33 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-03 06:13:27 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-03 07:12:22 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-03 07:46:35 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-03 08:21:34 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-03 11:44:06 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-03 15:15:57 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-03 18:04:51 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-03 19:57:47 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-03 21:22:19 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-03 23:19:39 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-04 02:06:17 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-04 03:36:25 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-04 04:29:21 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-04 04:41:10 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-04 06:07:50 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-04 06:40:52 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-04 09:36:55 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-04 10:21:34 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-04 10:50:54 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-04 14:39:36 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-04 18:03:49 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-04 19:56:47 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-04 21:35:46 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-04 23:18:55 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-05 03:32:10 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-05 04:28:30 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-05 04:41:17 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-05 06:22:29 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-05 07:08:23 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-05 08:11:03 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
2026-08-05 08:37:26 [INFO] root: resolve_models 成功: {'ok': True, 'resolved': {'glm-5-2': 'glm-5-2-260617', 'doubao-seed-2-1-pro': 'doubao-seed-2-1-pro-260628', 'doubao-seed-2-0-lite': 'doubao-seed-2-0-lite-260428'}, 'missing': [], 'n_available': 127}
